iter	Passed	Remaining
0	16	8136
1	30	7701
2	45	7590
3	60	7532
4	75	7483
5	90	7457
6	105	7401
7	119	7319
8	132	7251
9	147	7210
10	162	7202
11	177	7208
12	191	7168
13	205	7134
14	219	7093
15	233	7069
16	247	7041
17	261	7005
18	275	6965
19	288	6933
20	301	6882
21	314	6825
22	326	6778
23	339	6729
24	352	6690
25	364	6651
26	377	6618
27	390	6580
28	402	6544
29	415	6507
30	427	6474
31	440	6438
32	452	6408
33	465	6384
34	478	6355
35	490	6326
36	503	6300
37	516	6273
38	528	6245
39	540	6216
40	552	6187
41	565	6163
42	578	6143
43	591	6126
44	603	6103
45	616	6083
46	628	6061
47	640	6034
48	653	6012
49	665	5993
50	678	5970
51	690	5949
52	702	5927
53	715	5906
54	727	5886
